Date,Open,High,Low,Close,Volume
2022-04-14,169.84,171.2,168.05,169.38,716111.0
2022-04-15,171.99,172.5,169.1,171.05,1473955.0
2022-04-18,168.5,174.5,167.7,171.27,2854897.0
2022-04-19,171.5,171.5,169.02,169.41,858217.0
2022-04-20,170.5,172.5,166.22,166.96,492050.0
2022-04-21,166.05,168.0,165.0,165.49,271186.0
2022-04-22,167.0,168.0,165.8,167.16,359383.0
2022-04-25,170.5,173.1,170.5,170.94,1884703.0
2022-04-26,170.91,170.91,167.7,167.98,481517.0
2022-04-27,168.0,169.0,167.0,167.71,432743.0
2022-04-28,168.0,172.9,165.01,169.59,3048107.0
2022-05-06,170.0,172.9,169.05,169.64,1185234.0
2022-05-09,169.8,169.8,159.5,161.13,856653.0
2022-05-10,160.08,163.99,160.08,163.01,906643.0
2022-05-11,163.0,163.5,155.25,159.61,800512.0
2022-05-12,160.0,164.0,158.05,162.93,1120197.0
2022-05-13,163.5,165.5,162.01,164.19,640245.0
2022-05-16,161.01,161.5,157.1,158.66,812053.0
2022-05-17,160.36,162.5,159.02,159.86,479913.0
2022-05-18,160.5,162.1,158.0,161.31,529244.0
2022-05-19,161.85,162.0,160.01,160.62,561403.0
2022-05-20,160.4,163.0,160.35,161.51,905974.0
2022-05-23,161.29,161.29,157.0,158.28,673690.0
2022-05-24,158.5,160.3,157.0,157.18,526685.0
2022-05-25,157.99,158.0,155.6,157.31,864139.0
2022-05-26,157.0,161.0,156.4,160.58,1356186.0
2022-05-27,165.0,168.6,159.5,161.56,3247766.0
2022-05-30,161.5,165.2,161.02,163.75,943625.0
2022-05-31,163.75,165.0,162.51,164.68,680641.0
2022-06-01,164.5,164.55,161.55,161.86,308253.0
2022-06-02,161.85,162.0,158.5,161.84,564857.0
2022-06-03,163.3,164.6,154.0,155.63,1792577.0
2022-06-06,155.5,159.49,155.0,158.89,873214.0
2022-06-07,159.49,160.09,158.16,158.65,416370.0
2022-06-08,158.54,160.0,157.8,159.73,302738.0
2022-06-09,160.5,165.75,159.75,161.65,2667128.0
2022-06-10,161.99,164.6,161.3,163.54,450962.0
2022-06-13,162.51,163.25,158.75,160.71,684047.0
2022-06-14,160.99,163.48,159.11,162.42,443827.0
2022-06-15,163.0,165.5,162.5,163.85,836831.0
2022-06-16,165.1,169.31,163.7,168.85,2319037.0
2022-06-17,169.0,175.06,167.0,172.92,2479141.0
2022-06-20,173.79,174.95,169.5,171.32,1681195.0
2022-06-21,171.33,174.15,168.49,172.93,1602362.0
2022-06-22,174.01,174.64,170.83,171.82,668508.0
2022-06-23,172.99,176.9,172.7,174.93,2754510.0
2022-06-24,174.9,175.3,162.5,168.04,2500073.0
2022-06-27,169.49,174.5,168.04,173.83,1311656.0
2022-06-28,175.49,175.49,169.5,171.04,3919220.0
